,,,Decimal,,,Hex,,,,,
Code,LSB,Width,Device,Subdevice,Function,Device,Function,Product,Command,Binary,Binary LSB
0xC0C0,0x303,16,3,-1,3,0x3,0x3,LCD TV,Sleep,1100000011000000,0000001100000011
0xC020,0x304,16,3,-1,4,0x3,0x4,LCD TV,Info,1100000000100000,0000001100000100
0xC060,0x306,16,3,-1,6,0x3,0x6,LCD TV,Power On?,1100000001100000,0000001100000110
0xC0E0,0x307,16,3,-1,7,0x3,0x7,LCD TV,Power Off?,1100000011100000,0000001100000111
0xC050,0x30A,16,3,-1,10,0x3,0xA,LCD TV,OK,1100000001010000,0000001100001010
0xC050,0x30A,16,3,-1,10,0x3,0xA,LCD TV,ENT,1100000001010000,0000001100001010
0xC008,0x310,16,3,-1,16,0x3,0x10,LCD TV,TV,1100000000001000,0000001100010000
0xC088,0x311,16,3,-1,17,0x3,0x11,LCD TV,Video,1100000010001000,0000001100010001
0xC0C8,0x313,16,3,-1,19,0x3,0x13,LCD TV,Input,1100000011001000,0000001100010011
0xC0A8,0x315,16,3,-1,21,0x3,0x15,LCD TV,HDMI,1100000010101000,0000001100010101
0xC0E8,0x317,16,3,-1,23,0x3,0x17,LCD TV,Power toggle,1100000011101000,0000001100010111
0xC018,0x318,16,3,-1,24,0x3,0x18,LCD TV,Channel Down,1100000000011000,0000001100011000
0xC098,0x319,16,3,-1,25,0x3,0x19,LCD TV,Channel Up,1100000010011000,0000001100011001
0xC058,0x31A,16,3,-1,26,0x3,0x1A,LCD TV,Power Off?,,
0xC038,0x31C,16,3,-1,28,0x3,0x1C,LCD TV,Mute,1100000000111000,0000001100011100
0xC0B8,0x31D,16,3,-1,29,0x3,0x1D,LCD TV,Power On?,,
0xC078,0x31E,16,3,-1,30,0x3,0x1E,LCD TV,Volume Up,1100000001111000,0000001100011110
0xC0F8,0x31F,16,3,-1,31,0x3,0x1F,LCD TV,Volume Down,1100000011111000,0000001100011111
0xC004,0x320,16,3,-1,32,0x3,0x20,LCD TV,0,1100000000000100,0000001100100000
0xC084,0x321,16,3,-1,33,0x3,0x21,LCD TV,1,1100000010000100,0000001100100001
0xC044,0x322,16,3,-1,34,0x3,0x22,LCD TV,2,1100000001000100,0000001100100010
0xC0C4,0x323,16,3,-1,35,0x3,0x23,LCD TV,3,1100000011000100,0000001100100011
0xC024,0x324,16,3,-1,36,0x3,0x24,LCD TV,4,1100000000100100,0000001100100100
0xC0A4,0x325,16,3,-1,37,0x3,0x25,LCD TV,5,1100000010100100,0000001100100101
0xC064,0x326,16,3,-1,38,0x3,0x26,LCD TV,6,1100000001100100,0000001100100110
0xC0E4,0x327,16,3,-1,39,0x3,0x27,LCD TV,7,1100000011100100,0000001100100111
0xC014,0x328,16,3,-1,40,0x3,0x28,LCD TV,8,1100000000010100,0000001100101000
0xC094,0x329,16,3,-1,41,0x3,0x29,LCD TV,9,1100000010010100,0000001100101001
0xC05A,0x35A,16,3,-1,90,0x3,0x5A,LCD TV,Right,1100000001011010,0000001101011010
0xC0DA,0x35B,16,3,-1,91,0x3,0x5B,LCD TV,Left,1100000011011010,0000001101011011
0xC05E,0x37A,16,3,-1,122,0x3,0x7A,LCD TV,Menu,1100000001011110,0000001101111010
0xC0DE,0x37B,16,3,-1,123,0x3,0x7B,LCD TV,Down,1100000011011110,0000001101111011
0xC03E,0x37C,16,3,-1,124,0x3,0x7C,LCD TV,Up,1100000000111110,0000001101111100
0xC0C9,0x393,16,3,-1,147,0x3,0x93,LCD TV,Wide,1100000011001001,0000001110010011
0xC067,0x3E6,16,3,-1,230,0x3,0xE6,LCD TV,Return,1100000001100111,0000001111100110
0xC2C0,0x4303,16,67,-1,3,0x43,0x3,VCR,Stop,,
0xC220,0x4304,16,67,-1,4,0x43,0x4,VCR,Eject,,
0xC260,0x4306,16,67,-1,6,0x43,0x6,VCR,FF,,
0xC2E0,0x4307,16,67,-1,7,0x43,0x7,VCR,Rewind,,
0xC2D0,0x430B,16,67,-1,11,0x43,0xB,VCR,Power,,
,0x431A,16,67,-1,26,0x43,0x1A,VCR,Power OFF (?),,
,0x431D,16,67,-1,29,0x43,0x1D,VCR,Power ON (?),,
,0x436E,16,67,-1,110,0x43,0x6E,VCR,Line 1 (?),,
,0x43EA,16,67,-1,234,0x43,0xEA,VCR,Line 2 (?),,
0xC230,0x430C,16,67,-1,12,0x43,0xC,VCR,Play,,
0xC2B0,0x430D,16,67,-1,13,0x43,0xD,VCR,Pause,,
0xC2C8,0x4313,16,67,-1,19,0x43,0x13,VCR,TV/VCR,,
0xC228,0x4314,16,67,-1,20,0x43,0x14,VCR,RIGHT,,
0xC2A8,0x4315,16,67,-1,21,0x43,0x15,VCR,LEFT,,
0xC2E8,0x4317,16,67,-1,23,0x43,0x17,VCR,Audio Monitor,,
0xC218,0x4318,16,67,-1,24,0x43,0x18,VCR,CHANNEL -,,
0xC298,0x4319,16,67,-1,25,0x43,0x19,VCR,CHANNEL +,,
0xC284,0x4321,16,67,-1,33,0x43,0x21,VCR,1,,
0xC244,0x4322,16,67,-1,34,0x43,0x22,VCR,2,,
0xC2C4,0x4323,16,67,-1,35,0x43,0x23,VCR,3,,
0xC224,0x4324,16,67,-1,36,0x43,0x24,VCR,4,,
0xC2A4,0x4325,16,67,-1,37,0x43,0x25,VCR,5,,
0xC264,0x4326,16,67,-1,38,0x43,0x26,VCR,6,,
0xC2E4,0x4327,16,67,-1,39,0x43,0x27,VCR,7,,
0xC214,0x4328,16,67,-1,40,0x43,0x28,VCR,8,,
0xC294,0x4329,16,67,-1,41,0x43,0x29,VCR,9,,
0xC28C,0x4331,16,67,-1,49,0x43,0x31,VCR,SP/EP,,
0xC2CC,0x4333,16,67,-1,51,0x43,0x33,VCR,0,,
0xC2AC,0x4335,16,67,-1,53,0x43,0x35,VCR,Timer,,
0xC26C,0x4336,16,67,-1,54,0x43,0x36,VCR,Cancel,,
0xC2EC,0x4337,16,67,-1,55,0x43,0x37,VCR,Menu,,
0xC21C,0x4338,16,67,-1,56,0x43,0x38,VCR,Display,,
0xC23C,0x433C,16,67,-1,60,0x43,0x3C,VCR,OK,,
0xC2BC,0x433D,16,67,-1,61,0x43,0x3D,VCR,Program Check,,
0xC241,0x4382,16,67,-1,130,0x43,0x82,VCR,UP,,
0xC261,0x4386,16,67,-1,134,0x43,0x86,VCR,DOWN,,
0xC269,0x4396,16,67,-1,150,0x43,0x96,VCR,Skip Search,,
0xC283,0x43C1,16,67,-1,193,0x43,0xC1,VCR,Program,,
0xC2C3,0x43C3,16,67,-1,195,0x43,0xC3,VCR,Review,,
0xC263,0x43C6,16,67,-1,198,0x43,0xC6,VCR,Date +,,
0xC2E3,0x43C7,16,67,-1,199,0x43,0xC7,VCR,Date -,,
0xC213,0x43C8,16,67,-1,200,0x43,0xC8,VCR,Start +,,
0xC293,0x43C9,16,67,-1,201,0x43,0xC9,VCR,Start -,,
0xC253,0x43CA,16,67,-1,202,0x43,0xCA,VCR,Stop +,,
0xC2D3,0x43CB,16,67,-1,203,0x43,0xCB,VCR,Stop -,,
0xC233,0x43CC,16,67,-1,204,0x43,0xCC,VCR,Record,,
