,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0xFF52AD,0x00FF4AB5,0,-1,74,0x0,0x4A,32,Capello DVD,Power,00000000 11111111 01010010 10101101,00000000111111110101001010101101,00000000111111110100101010110101
0xFF4AB5,0x00FF52AD,0,-1,82,0x0,0x52,32,Capello DVD,Eject,00000000 11111111 01001010 10110101,00000000111111110100101010110101,00000000111111110101001010101101
0xFF7A85,0x00FF5EA1,0,-1,94,0x0,0x5E,32,Capello DVD,Slow,00000000 11111111 01111010 10000101,00000000111111110111101010000101,00000000111111110101111010100001
0xFFE01F,0x00FF07F8,0,-1,7,0x0,0x7,32,Disco ball remote,Music 1,00000000 11111111 11100000 00011111,00000000111111111110000000011111,00000000111111110000011111111000
0xFF10EF,0x00FF08F7,0,-1,8,0x0,0x8,32,Disco ball remote,A4,00000000 11111111 00010000 11101111,00000000111111110001000011101111,00000000111111110000100011110111
0xFF906F,0x00FF09F6,0,-1,9,0x0,0x9,32,Disco ball remote,Music 3,00000000 11111111 10010000 01101111,00000000111111111001000001101111,00000000111111110000100111110110
0xFF30CF,0x00FF0CF3,0,-1,12,0x0,0xC,32,Disco ball remote,A1,00000000 11111111 00110000 11001111,00000000111111110011000011001111,00000000111111110000110011110011
0xFFA857,0x00FF15EA,0,-1,21,0x0,0x15,32,Disco ball remote,Music 2,00000000 11111111 10101000 01010111,00000000111111111010100001010111,00000000111111110001010111101010
0xFF18E7,0x00FF18E7,0,-1,24,0x0,0x18,32,Disco ball remote,A2,00000000 11111111 00011000 11100111,00000000111111110001100011100111,00000000111111110001100011100111
0xFF9867,0x00FF19E6,0,-1,25,0x0,0x19,32,Disco ball remote,Flash,00000000 11111111 10011000 01100111,00000000111111111001100001100111,00000000111111110001100111100110
0xFF38C7,0x00FF1CE3,0,-1,28,0x0,0x1C,32,Disco ball remote,A5,00000000 11111111 00111000 11000111,00000000111111110011100011000111,00000000111111110001110011100011
0xFF02FD,0x00FF40BF,0,-1,64,0x0,0x40,32,Disco ball remote,Stop/Start,00000000 11111111 00000010 11111101,00000000111111110000001011111101,00000000111111110100000010111111
0xFF42BD,0x00FF42BD,0,-1,66,0x0,0x42,32,Disco ball remote,A7,00000000 11111111 01000010 10111101,00000000111111110100001010111101,00000000111111110100001010111101
0xFFA25D,0x00FF45BA,0,-1,69,0x0,0x45,32,Disco ball remote,On/Off,00000000 11111111 10100010 01011101,00000000111111111010001001011101,00000000111111110100010110111010
0xFFE21D,0x00FF47B8,0,-1,71,0x0,0x47,32,Disco ball remote,DMX On/Off,00000000 11111111 11100010 00011101,00000000111111111110001000011101,00000000111111110100011110111000
0xFF52AD,0x00FF4AB5,0,-1,74,0x0,0x4A,32,Disco ball remote,Speed + (flash/motor),00000000 11111111 01010010 10101101,00000000111111110101001010101101,00000000111111110100101010110101
0xFF4AB5,0x00FF52AD,0,-1,82,0x0,0x52,32,Disco ball remote,Speed - (flash/motor),00000000 11111111 01001010 10110101,00000000111111110100101010110101,00000000111111110101001010101101
0xFF5AA5,0x00FF5AA5,0,-1,90,0x0,0x5A,32,Disco ball remote,A6,00000000 11111111 01011010 10100101,00000000111111110101101010100101,00000000111111110101101010100101
