Code,LSB,Address,Command,Address,Command,Width,Device,Key
0x400EBC43,0xC23D70020,,,0x400,0xEBC43,36,Samsung Bluray,Search
0x400E5CA3,0xC53A70020,,,0x400,0xE5CA3,36,Samsung Bluray,Tools
0x400E9C63,0xC63970020,,,0x400,0xE9C63,36,Samsung Bluray,Full Screen
0x400E1CE3,0xC73870020,,,0x400,0xE1CE3,36,Samsung Bluray,Smart Hub
0x400E4CB3,0xCD3270020,,,0x400,0xE4CB3,36,Samsung Bluray,Pause/Step
0x400ED42B,0xD42B70020,,,0x400,0xED42B,36,Samsung Bluray,Exit
0x400EE41B,0xD82770020,,,0x400,0xEE41B,36,Samsung Bluray,Repeat
0x400E649B,0xD92670020,,,0x400,0xE649B,36,Samsung Bluray,Subtitle
0x400EA45B,0xDA2570020,,,0x400,0xEA45B,36,Samsung Bluray,Audio
0x400E24DB,0xDB2470020,,,0x400,0xE24DB,36,Samsung Bluray,D/Blue
0x400EC43B,0xDC2370020,,,0x400,0xEC43B,36,Samsung Bluray,C/Yellow
0x400E44BB,0xDD2270020,,,0x400,0xE44BB,36,Samsung Bluray,B/Green
0x400E847B,0xDE2170020,,,0x400,0xE847B,36,Samsung Bluray,A/Red
0x400E04FB,0xDF2070020,,,0x400,0xE04FB,36,Samsung Bluray,Title menu
0x400E7887,0xE11E70020,,,0x400,0xE7887,36,Samsung Bluray,Info
0x400EB847,0xE21D70020,,,0x400,0xEB847,36,Samsung Bluray,Disc menu
0x400E38C7,0xE31C70020,,,0x400,0xE38C7,36,Samsung Bluray,Enter
0x400ED827,0xE41B70020,,,0x400,0xED827,36,Samsung Bluray,Left
0x400E58A7,0xE51A70020,,,0x400,0xE58A7,36,Samsung Bluray,Right
0x400E9867,0xE61970020,,,0x400,0xE9867,36,Samsung Bluray,Down
0x400E18E7,0xE71870020,,,0x400,0xE18E7,36,Samsung Bluray,Up
0x400EE817,0xE81770020,,,0x400,0xEE817,36,Samsung Bluray,Return
0x400E6897,0xE91670020,,,0x400,0xE6897,36,Samsung Bluray,Home
0x400EA857,0xEA1570020,,,0x400,0xEA857,36,Samsung Bluray,FF
0x400E28D7,0xEB1470020,,,0x400,0xE28D7,36,Samsung Bluray,Play
0x400EC837,0xEC1370020,,,0x400,0xEC837,36,Samsung Bluray,Stop
0x400E48B7,0xED1270020,,,0x400,0xE48B7,36,Samsung Bluray,Rewind
0x400E8877,0xEE1170020,,,0x400,0xE8877,36,Samsung Bluray,Next
0x400EB04F,0xF20D70020,,,0x400,0xEB04F,36,Samsung Bluray,Prev
0x400ED02F,0xF40B70020,,,0x400,0xED02F,36,Samsung Bluray,0
0x400E50AF,0xF50A70020,,,0x400,0xE50AF,36,Samsung Bluray,9
0x400E906F,0xF60970020,,,0x400,0xE906F,36,Samsung Bluray,8
0x400E10EF,0xF70870020,,,0x400,0xE10EF,36,Samsung Bluray,7
0x400EE01F,0xF80770020,,,0x400,0xEE01F,36,Samsung Bluray,6
0x400E609F,0xF90670020,,,0x400,0xE609F,36,Samsung Bluray,5
0x400EA05F,0xFA0570020,,,0x400,0xEA05F,36,Samsung Bluray,4
0x400E20DF,0xFB0470020,,,0x400,0xE20DF,36,Samsung Bluray,3
0x400EC03F,0xFC0370020,,,0x400,0xEC03F,36,Samsung Bluray,2
0x400E40BF,0xFD0270020,,,0x400,0xE40BF,36,Samsung Bluray,1
0x400E807F,0xFE0170020,1024,950399,0x400,0xE807F,36,Samsung Bluray,Eject
0x400E807F,0xFE0170020,,,0x400,0xE807F,36,Samsung Bluray,Eject
0x400E00FF,0xFF0070020,,,0x400,0xE00FF,36,Samsung Bluray,Power
